DATAFLOW,REF_AREA,FREQ,MEASURE,SEX,OC2,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_52,2023,26155.646,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_53,2023,552.806,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_54,2023,1863.669,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_61,2023,24962.632,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_62,2023,1492.003,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_63,2023,3652.196,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_71,2023,3285.441,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_72,2023,2304.878,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_73,2023,2077.447,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_74,2023,644.293,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
