DATAFLOW,REF_AREA,FREQ,MEASURE,SEX,OC2,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_53,2015,55.343,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_54,2015,738.741,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_61,2015,19117.318,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_62,2015,115.999,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_63,2015,683.748,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_71,2015,1360.298,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_72,2015,1312.618,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_73,2015,636.564,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_74,2015,616.876,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_75,2015,3651.862,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_81,2015,1146.395,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_82,2015,6.673,U,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_83,2015,2417.669,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_91,2015,804.167,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_92,2015,2689.8,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_93,2015,4605.528,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_94,2015,,U,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_95,2015,186.968,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_96,2015,441.979,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_TOTAL,2018,59793.793,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_11,2018,117.063,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_12,2018,225.026,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_13,2018,665.701,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_14,2018,403.915,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_21,2018,126.67,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_22,2018,204.456,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_23,2018,2014.736,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_24,2018,265.789,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_25,2018,57.64,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_26,2018,472.93,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_31,2018,358.971,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_32,2018,554.87,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_33,2018,1172.238,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_34,2018,131.261,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_35,2018,156.987,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_41,2018,465.192,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_42,2018,171.624,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_43,2018,179.225,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_44,2018,52.172,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_51,2018,1465.309,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_52,2018,7466.8,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_53,2018,52.248,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_54,2018,902.534,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_61,2018,17911.156,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_62,2018,53.165,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_63,2018,1559.245,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_71,2018,1720.653,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_72,2018,1570.512,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_73,2018,595.161,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_74,2018,708.864,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),PAK,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_75,2018,4178.43,,NB,PS,3,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,,,1,,
